timestamp,error_x,error_y,error_l2,cumulative_l2_error,sample_count,avg_sample_error_mm
1763485608.6598008,1.2246467991473532e-16,0.0,1.2246467991473532e-16,1.2246467991473532e-16,1,1.2246467991473532e-13
1763485608.6617417,0.0012195443846289467,3.7182229939425326e-07,0.0012195444413106965,0.001219544441310819,2,0.6097722206554095
1763485608.663408,0.00226646218986731,1.2842739518398022e-06,0.002266462553729425,0.003486006995040244,3,1.1620023316800814
1763485608.664886,0.0031950275271978453,2.552236418159607e-06,0.003195028546580251,0.006681035541620495,4,1.6702588854051237
1763485608.6662717,0.0040655902801935906,4.132677784226802e-06,0.004065592380629208,0.010746627922249702,5,2.14932558444994
1763485608.8610642,0.12610703024785086,0.00399654561167886,0.12617034300800883,0.13691697093025854,6,22.81949515504309
1763485608.8626978,0.12713388264630343,0.004061680256941457,0.12719874749082116,0.2641157184210797,7,37.730816917297105
1763485608.8640623,0.1279914635103507,0.004116485400818442,0.1280576439872942,0.3921733624083739,8,49.02167030104674
1763485608.8654766,0.12888020635918027,0.004173679016895439,0.1289477692235153,0.5211211316318892,9,57.9023479590988
1763485609.0663106,0.2537128324323116,0.016289125067573934,0.25423520003393174,0.775356331665821,10,77.5356331665821
1763485609.0678532,0.25434557547124054,0.016411175125041484,0.25487447583228356,1.0302308074981046,11,93.65734613619132
1763485609.069168,0.25488270563563864,0.01651556622972532,0.25541722252039323,1.2856480300184978,12,107.13733583487482
1763485609.0705562,0.2554477362658081,0.016626134685337798,0.25598823081911565,1.5416362608376135,13,118.58740467981642
1763485609.2709522,0.334387379880316,0.03653402839659492,0.33637725109481764,1.8780135119324313,14,134.14382228088795
1763485609.2724416,0.3346558365443058,0.0367062778375593,0.3366628577165251,2.214676369648956,15,147.64509130993042
1763485609.2736418,0.3348701684861497,0.03684537504109348,0.336891097246367,2.551567466895323,16,159.4729666809577
1763485609.2748227,0.3350794419827795,0.03698248045972387,0.3371141294879892,2.8886815963833126,17,169.9224468460772
1763485609.4732194,0.3668726564934886,0.06384472028643608,0.3723864852422044,3.261068081625517,18,181.17044897919538
1763485609.4747274,0.3673785406335067,0.06408930375314259,0.37292684399700665,3.6339949256225235,19,191.26289082223806
1763485609.475924,0.3677814654595831,0.06428371270959779,0.37335720437046427,4.007352129992988,20,200.3676064996494
1763485609.4771059,0.3681805805745985,0.06447599916937179,0.3737834859663242,4.3811356159593124,21,208.62550552187204
1763485609.6792693,0.4570344052190941,0.17346620315979228,0.48884657224189004,4.869982188201202,22,221.3628267364183
1763485609.680736,0.4571799584302775,0.17377687962609684,0.48909295464450636,5.359075142845708,23,233.00326708024818
1763485609.6821053,0.45731334783165956,0.1740674088984412,0.4893209181565995,5.848396061002308,24,243.6831692084295
1763485609.6835346,0.4574501305269814,0.1743711987630785,0.4895568780818276,6.337952939084136,25,253.51811756336545
1763485609.8837729,0.4712916837856785,0.22071054941401347,0.5204123344312427,6.858365273515379,26,263.78327975059153
1763485609.8854268,0.47102830398212137,0.2211525211908749,0.5203615097039308,7.37872678321931,27,273.28617715627075
1763485609.8867724,0.47081122742227294,0.22151275084068933,0.5203182782219711,7.8990450614412815,28,282.10875219433143
1763485609.8882194,0.47057542145900394,0.22190067910403574,0.520270255413618,8.419315316854899,29,290.32121782258275
1763485610.0877094,0.4320404849821664,0.27904439566337835,0.5143197015619425,8.933635018416842,30,297.7878339472281
1763485610.0893128,0.4316780780289682,0.27951341773282834,0.5142700786002142,9.447905097017056,31,304.77113216184057
1763485610.0906565,0.4313737197958472,0.27990641334591343,0.5142284379171181,9.962133534934175,32,311.316672966693
1763485610.0919778,0.4310739427386646,0.2802926256119937,0.5141874172718764,10.476320952206052,33,317.46427127897124
1763485610.295076,0.37822344964005583,0.34321428894766,0.5107338112906484,10.987054763496701,34,323.14866951460886
1763485610.296732,0.3777447190332482,0.34358859185664764,0.5106311714060763,11.497685934902778,35,328.50531242579365
1763485610.2980618,0.3773608794469171,0.34388840448102176,0.5105491828153812,12.00823511771816,36,333.56208660328224
1763485610.2994027,0.3769734167593736,0.344189790140202,0.5104660307797109,12.51870114849787,37,338.34327428372626
1763485610.5083072,0.309163535172308,0.3946831959219409,0.5013550803805583,13.020056228878428,38,342.63305865469545
1763485610.5098832,0.308955319524832,0.3949797760273351,0.501460280514115,13.521516509392542,39,346.7055515228857
1763485610.5112133,0.30878027497203997,0.39522974906977587,0.5015494120837614,14.023065921476304,40,350.57664803690756
1763485610.5125542,0.3086035491372934,0.395481142373595,0.5016387988515816,14.524704720327886,41,354.2610907397045
1763485610.7045956,0.34565652679842196,0.40598954640445534,0.533203475521347,15.057908195849233,42,358.521623710696
1763485610.70607,0.3454631852678265,0.4062018079573585,0.5332398345615408,15.591148030410775,43,362.58483791652964
1763485610.707438,0.34528443257774355,0.40639895338920246,0.5332742715492409,16.124422301960017,44,366.464143226364
1763485610.7087467,0.34511326670390186,0.4065871498453879,0.5333069259576838,16.657729227917702,45,370.17176062039334
1763485610.710042,0.3449437145636486,0.4067730721699332,0.53333900894228,17.191068236859984,46,373.71887471434746
1763485610.907472,0.31166477163641104,0.4380695921099502,0.5376243087980253,17.72869254565801,47,377.20622437570233
1763485610.909062,0.31124235409625733,0.43800269605519987,0.5373250084771821,18.266017554135193,48,380.54203237781655
1763485610.9104114,0.31088292671829454,0.43794361490586675,0.5370687143762432,18.803086268511436,49,383.7364544594171
1763485610.9117641,0.3105217237968967,0.4378824289338151,0.536809801064375,19.33989606957581,50,386.79792139151624
