timestamp,x_loc,y_loc,theta_loc,v_x,v_y
1763484675.376904,-0.2551814683849179,2.8757521003854842,1.9107177083114883,-0.299132834011762,0.8458480606353393
1763484675.3781788,-0.2555628101435174,2.876830407914032,1.9124916643817669,-0.30041605709551794,0.8447064779530726
1763484675.3794656,-0.25594936902435783,2.877917329811327,1.914429063989591,-0.3018341343616004,0.8435139403808408
1763484675.5078611,-0.29470353094913787,2.9862207723642022,2.118721095337254,-0.4325380880816326,0.7087842451389346
1763484675.5094311,-0.29538260984041936,2.987333553949476,2.1212089406820285,-0.4334558568923725,0.7063302545828734
1763484675.5107489,-0.2959537917387854,2.988264313216587,2.1233295721223286,-0.4342479683815718,0.7042664515120367
1763484675.5620506,-0.3182314584497593,3.0243943919386114,2.206265636490893,-0.4604059104916341,0.6242578768438499
1763484675.5636716,-0.3189777800767641,3.025406318900668,2.2088655230292544,-0.46106499533365153,0.6217609959221696
1763484675.7820225,-0.4196517309101844,3.161168384047925,2.5665562918897025,-0.46453393386896874,0.3010631084364012
1763484675.7836902,-0.4204264517857846,3.1616704784224656,2.5690108291404377,-0.4645654626171463,0.2994668601919205
1763484675.784937,-0.42100562125085556,3.162043820987035,2.5706431357813098,-0.4650593858422135,0.2987118226765655
1763484675.986006,-0.5145147011251568,3.2221055432883197,2.7902634663928403,-0.5211010963327986,0.19100206273726633
1763484675.9875891,-0.5153396559399842,3.2224079185325976,2.791722073749353,-0.5213550884256477,0.19023300234478288
1763484675.9892797,-0.4686166375663296,3.173908355772122,2.782096858206085,-0.4901799189211155,0.18422300570860708
1763484675.9905539,-0.4692411801571181,3.174143075940833,2.7828199058574636,-0.4897409542962,0.18365401835450348
1763484675.9918478,-0.4698748548166004,3.174380705439699,2.783484545748107,-0.4892563506395687,0.18310147500046545
1763484676.1932864,-0.5684300011230241,3.211264422194736,2.8368943079153635,-0.5025721742671113,0.1580547802714275
1763484676.194716,-0.5691484570949579,3.2114903706387468,2.8370269127504115,-0.5025778370670261,0.15798332852559366
1763484676.196039,-0.5698133598816622,3.2116993801645197,2.8368490836312215,-0.5025240715902476,0.1580646267697565
1763484676.1972334,-0.5704136133679777,3.21188818473856,2.8365021316699366,-0.502447652924805,0.1582321831396916
1763484676.3978567,-0.671216306435743,3.2436332433483965,2.74014869701382,-0.4835624868452665,0.2052705007037693
1763484676.4001443,-0.6723225166821344,3.24410282553754,2.7385843955731124,-0.48313111881428406,0.20597992894850048
1763484676.4014788,-0.6729672207550875,3.2443776910843205,2.7373184670382003,-0.482849663197379,0.20658268261224924
1763484676.4026487,-0.6735321162174359,3.2446193762896796,2.736035862476683,-0.48257015433861894,0.20719574318487155
