timestamp,elapsed_time,x_ref,y_ref,theta_ref
1763484956.5666513,0.0,1.2246467991473532e-16,0.0,6.123233995736766e-17
1763484956.5684483,0.0017969608306884766,0.001129063549010634,3.186962513890279e-07,0.0005645321643194956
1763484956.56992,0.003268718719482422,0.002053795099309508,1.054519967569334e-06,0.0010268998959066307
1763484956.571232,0.00458073616027832,0.002878157440142789,2.0709529235940494e-06,0.0014390851773283667
1763484956.7704582,0.20380687713623047,0.12770594311979702,0.0040981612374120235,0.06442302824512672
1763484956.7719202,0.20526885986328125,0.1286169585980414,0.0041571469451857634,0.06489091156439783
1763484956.7732258,0.2065744400024414,0.12943042213192976,0.004210178250102059,0.06530884560636167
1763484956.7746615,0.20801019668579102,0.13032489376080245,0.004268884829556674,0.06576856586943008
1763484956.7758353,0.209183931350708,0.13105604778617214,0.004317179251028147,0.06614447834620489
1763484956.9753273,0.4086759090423584,0.2539661398638156,0.01646118776696781,0.13161190767790154
1763484956.9768543,0.4102029800415039,0.2548940512302447,0.016584265753672556,0.13212827566367935
1763484956.9781744,0.41152310371398926,0.2556960237777626,0.016691032207969636,0.13257489195175234
1763484956.9794016,0.412750244140625,0.25644135142792,0.01679058447478554,0.13299023937604942
1763484957.1805222,0.6138708591461182,0.37621376700837456,0.037077233898688666,0.20398023755263037
1763484957.181952,0.6153006553649902,0.377045982083165,0.0372496130210036,0.2045090818735407
1763484957.1831326,0.6164813041687012,0.37773295117152494,0.037392252946556015,0.20494606792291548
1763484957.1843367,0.6176853179931641,0.3784333012859981,0.037537993788622215,0.2053919772884597
1763484957.38708,0.8204286098480225,0.49296166721752965,0.06606565265838027,0.28499704334034925
1763484957.3886635,0.822012186050415,0.49382711536886903,0.0663195159213339,0.2856587013762217
1763484957.3899593,0.823307991027832,0.4945349285671046,0.06652760258808188,0.2862006356718253
1763484957.3912427,0.8245913982391357,0.49523564655030683,0.06673401419562852,0.28673784226856264
1763484957.5906317,1.0239803791046143,0.5999077868064355,0.10259695815996261,0.37634621894623593
1763484957.5919843,1.0253329277038574,0.6005874939399809,0.10286582324839255,0.37700015963579403
1763484957.593355,1.0267035961151123,0.6012758644587393,0.10313863971412784,0.37766355652890554
1763484957.5946255,1.0279741287231445,0.6019135469834628,0.10339183936897323,0.37827911457757657
1763484957.7970617,1.2304103374481201,0.6983499804086231,0.14756567922664798,0.48478037633226284
1763484957.7986002,1.2319488525390625,0.6990415597004411,0.1479303237579228,0.48565945837435404
1763484957.7998798,1.2332284450531006,0.6996162529222837,0.14823393044945288,0.4863914608209485
1763484957.8010652,1.2344138622283936,0.7001482463970417,0.14851545934431676,0.48707029091956
1763484958.0018022,1.4351508617401123,0.784402288703467,0.19985977886352724,0.6124210487397108
1763484958.0033958,1.4367444515228271,0.7850229429581246,0.20029630816582955,0.6135038219107183
1763484958.0047178,1.4380664825439453,0.7855372361567284,0.20065879217817173,0.6144031836246165
1763484958.0060222,1.43937087059021,0.7860441347196387,0.20101674290895644,0.615291522065697
1763484958.2035184,1.6368670463562012,0.8565123248718672,0.2586634035610478,0.7613393038082505
1763484958.2051282,1.638476848602295,0.8570339324583751,0.2591611379146215,0.7626254594725749
1763484958.206458,1.6398067474365234,0.8574641844804648,0.2595726648615675,0.7636891537344076
1763484958.2077553,1.641103982925415,0.8578832923534158,0.25997437709125437,0.7647277407987522
1763484958.4141576,1.8475062847137451,0.9171312292005219,0.3275255552871519,0.9422715634320599
1763484958.4157634,1.8491120338439941,0.9175329038843222,0.32807902843024994,0.9437421320691174
1763484958.4170685,1.850417137145996,0.9178586846366403,0.32852918775149975,0.9449382773452343
1763484958.4183836,1.8517322540283203,0.9181863406643378,0.32898308521089104,0.9461444254371241
1763484958.6168191,2.0501677989959717,0.9603230947119898,0.40069398828409275,1.1359839720170477
1763484958.6183004,2.0516490936279297,0.9605822484625532,0.4012530267074501,1.1374453345216688
1763484958.6196306,2.0529792308807373,0.9608142480394333,0.40175531359591155,1.1387579270085213
1763484958.6209302,2.05427885055542,0.9610402766214331,0.40224634598008935,1.14004072322694
1763484958.6222167,2.055565357208252,0.9612633934492895,0.4027326862269285,1.1413108825866203
1763484958.8189938,2.252342462539673,0.9879175129510014,0.48014434635199077,1.3367373494361596
1763484958.8206077,2.2539563179016113,0.9880741577151823,0.4808036591322016,1.3383290786657853
1763484958.8219306,2.255279302597046,0.9882018120658567,0.48134443301015906,1.3396335431063568
1763484958.8232243,2.256572961807251,0.9883259765130681,0.48187347369487976,1.340908755335065
1763484959.024635,2.4579837322235107,0.9996515508075612,0.5672428445420707,1.5329813571080257
1763484959.0261908,2.4595394134521484,0.9996768748963207,0.5679250033214496,1.5343981583271196
1763484959.0275943,2.4609429836273193,0.999698903246206,0.5685407556651738,1.5356753572508954
1763484959.028899,2.462247610092163,0.9997186815103993,0.5691133505581929,1.5368616073236319
1763484959.2285795,2.661928176879883,0.9948286976918127,0.6595277200013387,1.7068069069790117
1763484959.2300048,2.663353443145752,0.9947373433663294,0.6601924635436891,1.70793026713486
1763484959.2311857,2.664534330368042,0.994661048543931,0.6607434322957744,1.7088600013163415
1763484959.232387,2.6657357215881348,0.9945828670689718,0.6613041567876872,1.7098049366996564
1763484959.4333966,2.8667452335357666,0.9735676291416908,0.7577431268647985,1.8543754600907751
1763484959.434938,2.868286609649658,0.9733459739059716,0.7585022749873724,1.855380505050519
1763484959.4362383,2.869586944580078,0.9731582712636343,0.7591429335329063,1.856227175401109
1763484959.4375472,2.8708958625793457,0.9729686736028763,0.7597880299793021,1.857078321086058
