timestamp,P_trace,P_px,P_py,P_theta,P_v,P_b_g,innovation_norm,mahalanobis,gyro_bias,outliers_rejected,slip_magnitude
1763484799.5859208,21.6,10.0,10.0,0.5,1.0,0.1,0.0,0.0,0.0,0,0.0
1763484799.5878315,21.77045601655398,10.010003650722874,10.01,0.5004503658289431,1.15,0.10000200000216188,0.0,0.0,0.0,0,0.011823909058372857
1763484799.589375,21.940917485323627,10.020012288924459,10.020000000000005,0.5009011963899311,1.2999999999999998,0.10000400000922748,0.0,0.0,0.0,0,0.006714590874298739
1763484799.590678,22.111382371674072,10.030024100648976,10.030000000000015,0.5013522710024534,1.4499999999999997,0.10000600002262887,0.0,0.0,0.0,0,0.024082647602434698
1763484799.5920413,22.281853224999804,10.040041463234726,10.04000000000005,0.5018037617202128,1.5999999999999996,0.10000800004481189,0.0,0.0,0.0,0,0.045497061195365375
1763484799.7896254,22.521830250318523,10.11541164840203,10.05000000035954,0.5064085766952758,1.7499999999999996,0.10001002486167684,0.0,0.0,0.0,0,0.020058042482137804
1763484799.7910185,22.693252729268398,10.12631634195794,10.060000000402654,0.5069243368852586,1.8999999999999995,0.10001205002254467,0.0,0.0,0.0,0,0.013554802005795792
1763484799.7923613,22.8646476655372,10.137195064907653,10.070000000467788,0.5074385246444566,2.0499999999999994,0.10001407551730056,0.0,0.0,0.0,0,0.003651590112210921
1763484799.7939937,23.03625434959978,10.148272983985446,10.080000000578538,0.5079652636147626,2.1999999999999993,0.10001610142102824,0.0,0.0,0.0,0,0.021312231045444
1763484799.9947965,23.44110389726486,10.380244290903942,10.09000027204127,0.5208411298890225,2.349999999999999,0.10001820443062821,0.0,0.0,0.0,0,0.0057043945921025595
1763484799.9963572,23.614140442361165,10.392664688417252,10.100000091351163,0.5214553543332663,2.499999999999999,0.10002030825948406,0.0,0.0,0.0,0,0.005749980715506921
1763484799.9976413,23.78673495855213,10.404665005532866,10.110000021283588,0.5220475189705609,2.649999999999999,0.10002241276512226,0.0,0.0,0.0,0,0.016484618649609657
1763484799.9988782,23.95926069557957,10.416599812300234,10.120000022484884,0.5226363428694782,2.799999999999999,0.10002451792497492,0.0,0.0,0.0,0,0.005687763499236085
1763484800.211121,24.611682429026313,10.885421387400433,10.13102172764143,0.5452125422509638,2.949999999999999,0.10002677173348493,0.0,0.0,0.0,0,0.012989554767144284
1763484800.212588,24.786486269414358,10.899470842202563,10.141050892157448,0.5459355082111169,3.0999999999999988,0.10002902684323009,0.0,0.0,0.0,0,0.031602428802792855
1763484800.213778,24.960495788272308,10.912765092713082,10.151074939333169,0.5466244732145743,3.2499999999999987,0.10003128301148059,0.0,0.0,0.0,0,0.016195326969104425
1763484800.214954,25.134474135054234,10.9260292323883,10.16109904390601,0.5473123185315484,3.3999999999999986,0.10003354022837613,0.0,0.0,0.0,0,0.029275305173290862
1763484800.4137647,26.02908740478932,11.623057698792513,10.179095080162949,0.5768986096412615,3.5499999999999985,0.10003601619259866,0.0,0.0,0.0,0,0.04018369753496128
1763484800.4153466,26.20665569021643,11.639602463604655,10.189236581290011,0.5777781510634276,3.6999999999999984,0.10003849425833973,0.0,0.0,0.0,0,0.002059374442590313
1763484800.4166427,26.382983928190935,11.654978027933426,10.199353641412884,0.5786112847941601,3.8499999999999983,0.10004097405046865,0.0,0.0,0.0,0,0.03483756025141316
1763484800.4448028,26.681098625731156,11.784964949976066,10.21208854382743,0.584001639530638,3.9999999999999982,0.10004349239702534,0.0,0.0,0.0,0,0.008835167095609458
1763484800.446917,15.760784143723948,5.770163905353028,5.363097807738061,0.5846737267979096,3.942806336195479,0.10004236763946867,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.016412047965448952
1763484800.7124088,16.86719040131844,6.628870411955068,5.407234917124826,0.6382333708842408,4.092806336195479,0.10004536515882301,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.16924269987638116
1763484800.7138457,17.04477565696501,6.644973346821957,5.417590056066129,0.6393575520159849,4.242806336195479,0.10004836586546015,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.32019273257341585
1763484800.7150562,17.221308098297275,6.66012757917061,5.427890878019575,0.640431935649091,4.39280633619548,0.10005136926251902,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.48309450310636864
1763484800.716223,17.397648568074747,6.675107925210593,5.438182272498722,0.6414976589121344,4.54280633619548,0.10005437525781602,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.6390682989134686
1763484800.817185,18.09961696422076,7.162812459832952,5.477713283953246,0.6662272599627527,4.69280633619548,0.10005762427632893,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.4969839461229803
1763484800.8181498,18.27603637527889,7.177814801312622,5.4880013716098315,0.6673529903669237,4.842806336195481,0.10006087579402713,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.6689634699333633
1763484800.818892,18.451186960104682,7.191668528681659,5.498223302980981,0.668424663010127,4.992806336195481,0.10006412923643199,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.7490431171520641
1763484800.9020069,19.13683226258523,7.667839142372879,5.535538868467327,0.6905803046367069,5.142806336195481,0.10006761091283323,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.708062007235269
1763484800.903618,19.31842469558989,7.687508793888507,5.546063557340045,0.6919749109042788,5.292806336195482,0.10007109726157747,0.1840387816525646,0.03878879610504892,4.273280297172668e-05,0,0.8342930555098049
