timestamp,v_ref,omega_ref,v_loc,omega_loc,v_err,omega_err,v_cmd,omega_cmd
1763484747.3622203,0.6279827444645084,0.389990930620025,0.0,-0.009353151348695134,0.6279827444645084,0.3993440819687201,1.3364011085489267,0.5896629716043851
1763484747.3639488,0.6279827444645084,0.39000840555274496,-7.912816747719092e-06,-0.0069848400101153296,0.6279906572812561,0.3969932455628603,1.3364096543910144,0.5885050283341751
1763484747.3654106,0.2279827444645084,0.12345069224753026,-1.9338807812836412e-05,-0.028367506489021897,0.22800208327232122,0.15181819873655217,0.4724219944613644,0.19935979161580636
1763484747.3666942,0.2279827444645084,0.1234390359767858,-6.654993474431911e-05,0.010895037743210633,0.2280492943992527,0.11254399823357517,0.47247298247845043,0.1797110350935734
1763484747.3679302,0.2279827444645084,0.12343644021125094,-4.165092017275356e-05,0.002486236010154314,0.22802439538468114,0.12095020420109663,0.4724460915427131,0.18391154231179926
1763484747.5661497,0.22243590845135142,0.12129411076399928,-0.001389849369969724,-0.005369042832773328,0.22382575782132114,0.1266631535967726,0.42271701448268056,0.18462568756238557
1763484747.5677087,0.22243590845135142,0.12127855966448195,-0.0013324113719914922,0.011522558490163672,0.22376831982334291,0.10975600117431827,0.422654981444864,0.1761565602516411
1763484747.569001,0.22243590845135142,0.12127257188765117,-0.001300558177331205,0.00497820828032507,0.22373646662868263,0.1162943636073261,0.42262057999463093,0.17941975369131422
1763484747.5703034,0.22243590845135142,0.12127443128465983,-0.0012560426034069659,-0.0024666129033407494,0.2236919510547584,0.12374104418800058,0.4225725031747927,0.1831449533786601
1763484747.7705076,0.2097319526815774,0.11120806301664597,0.19538015242763873,0.019797706614426366,0.014351800253938674,0.0914103564022196,0.14625010891481904,0.15691324121775577
1763484747.7720327,0.6497319526815775,0.399154233234226,0.1968972694173687,0.02240353968870334,0.4528346832642087,0.37675069354552265,1.0950116225659108,0.5875295800069873
1763484747.7733788,0.6497319526815775,0.3994036649221233,0.19818815007395357,-0.0026205903071976158,0.4515438026076239,0.40202425522932095,1.0936174714567992,0.6004157925367838
1763484747.7747138,0.6497319526815775,0.3996707892389956,0.19951703667641738,-0.011592091345519022,0.45021491600516006,0.41126288058451466,1.0921822739261382,0.6053022295312529
1763484747.976038,0.6404575704534222,0.45578251977916334,0.400727341838007,-0.04081416209436318,0.2397302286154152,0.4965966818735265,0.8229878142100221,0.7040808607159266
1763484747.9776537,0.6404575704534222,0.45645958332372494,0.40234979015280675,-0.002769354005560839,0.23810778030061547,0.45922893732928577,0.8212355700300383,0.6860740519883678
1763484747.9789243,0.6404575704534222,0.4567919085571438,0.4029569405745287,0.10713167149248484,0.23750062987889353,0.349660237064659,0.8205798475745787,0.6316220270894732
1763484747.9800909,0.6404575704534222,0.45693578818312314,0.403536935054904,0.20278043096713902,0.2369206353985182,0.25415535721598415,0.8199534535357733,0.5840134667911152
1763484748.1825817,0.6255761676790891,0.5039092007273446,0.6065087885095131,0.15250434480532543,0.019067379169576015,0.35140485592201914,0.5436636359721414,0.6796116286883541
1763484748.184111,0.6255761676790891,0.5045922089539259,0.6080453699187053,0.18656080898697253,0.0175307977603838,0.31803139996695334,0.5420041280502138,0.6636079089374025
1763484748.1854215,0.6255761676790891,0.5051509666627875,0.6093360261876931,0.2023290838140188,0.016240141491395965,0.30282188284876865,0.540610219279707,0.6565619080871719
1763484748.1872308,0.6255761676790891,0.5497194965240687,0.615472431431052,0.2238689592810671,0.010103736248037065,0.3258505372430016,0.5339829016168793,0.7126447651455695
1763484748.3873656,0.596487426882758,0.6476937547515592,0.7084067693884988,0.2977602541254782,-0.11191934250574076,0.34993350062608103,0.3554458382687242,0.8226605050645998
1763484748.3889198,0.596487426882758,0.6485125391254778,0.7092101544544753,0.37183021433284913,-0.11272272757171731,0.27668232479262866,0.3545781823974696,0.7868537015217921
1763484748.390287,0.596487426882758,0.6490287693456684,0.7098866743088489,0.4865875511606836,-0.11339924742609087,0.16244121818498486,0.35384754095474613,0.7302493784381608
1763484748.3916175,0.596487426882758,0.6493638437730731,0.7105525284663793,0.5830205301302779,-0.11406510158362126,0.06634331364279522,0.3531284184646133,0.6825355005944707
1763484748.596978,0.5551110831106844,0.6805897952319008,0.608316633632286,0.6856897497389737,-0.0532055505216017,-0.005099954507072901,0.3716279864440419,0.6780398179783643
1763484748.5985878,0.5551110831106844,0.6804528405893039,0.6075536967844225,0.8104999988621548,-0.05244261367373815,-0.13004715827285096,0.37245195823973454,0.6154292614528785
1763484748.5999362,0.5551110831106844,0.6803525356278017,0.6061925108895512,0.8012021276213387,-0.05108142777886682,-0.12084959199353695,0.3739220390061956,0.6199277396310332
1763484748.601278,0.5551110831106844,0.6800985099600689,0.6055087354574442,0.8860693130088867,-0.05039765234675986,-0.20597080304881776,0.3746605164728711,0.57711310843566
1763484748.7968922,0.5239796298052445,0.6821740789246404,0.41087518333544687,0.8722241727552932,0.11310444646979761,-0.19005009383065274,0.5314369656301844,0.587149032009314
1763484748.7985163,0.5239796298052445,0.6814543093634439,0.40928975311449645,0.8947754583997828,0.11468987669074804,-0.21332114903633892,0.5331492302688109,0.5747937348452744
1763484748.799855,0.5239796298052445,0.6807827986879746,0.4079668632294884,0.9390767933933087,0.1160127665757561,-0.2582939947053341,0.5345779513446196,0.5516358013353075
1763484748.8011594,0.5239796298052445,0.680361988434323,0.4073037782599022,0.791438016149187,0.11667585154534227,-0.11107602771486391,0.5352940831117726,0.6248239745768911
